iter	Passed	Remaining
719	38393	14930
720	38441	14875
721	38494	14822
722	38545	14767
723	38599	14714
724	38653	14661
725	38709	14609
726	38758	14554
727	38809	14500
728	38862	14446
729	38916	14393
730	38969	14340
731	39022	14287
732	39076	14233
733	39131	14181
734	39185	14127
735	39237	14074
736	39289	14020
737	39341	13966
738	39394	13913
739	39446	13859
740	39496	13805
741	39547	13750
742	39597	13696
743	39648	13642
744	39698	13587
745	39749	13533
746	39801	13480
747	39853	13426
748	39907	13373
749	39960	13320
750	40015	13267
751	40074	13215
752	40126	13162
753	40180	13109
754	40238	13057
755	40293	13004
756	40347	12951
757	40399	12898
758	40449	12843
759	40504	12790
760	40556	12737
761	40613	12685
762	40674	12634
763	40733	12582
764	40792	12531
765	40846	12477
766	40898	12424
767	40950	12370
768	41002	12316
769	41054	12263
770	41104	12208
771	41156	12155
772	41210	12101
773	41264	12048
774	41317	11995
775	41368	11941
776	41418	11887
777	41468	11833
778	41521	11779
779	41572	11725
780	41623	11671
781	41675	11617
782	41723	11563
783	41775	11509
784	41826	11455
785	41879	11402
786	41933	11349
787	41989	11296
788	42042	11243
789	42095	11190
790	42152	11137
791	42209	11085
792	42266	11032
793	42324	10981
794	42383	10929
795	42435	10875
796	42491	10822
797	42543	10769
798	42599	10716
799	42654	10663
800	42706	10609
801	42758	10556
802	42810	10502
803	42862	10448
804	42914	10395
805	42962	10340
806	43014	10287
807	43064	10233
808	43115	10179
809	43166	10125
810	43218	10071
811	43271	10018
812	43323	9964
813	43377	9911
814	43430	9858
815	43484	9805
816	43537	9752
817	43592	9699
818	43646	9645
819	43698	9592
820	43750	9538
821	43804	9485
822	43858	9432
823	43909	9378
824	43961	9325
825	44013	9271
826	44064	9217
827	44118	9164
828	44179	9113
829	44231	9059
830	44281	9005
831	44333	8951
832	44384	8898
833	44436	8844
834	44489	8791
835	44540	8737
836	44594	8684
837	44647	8631
838	44700	8577
839	44752	8524
840	44805	8470
841	44856	8417
842	44911	8364
843	44961	8310
844	45016	8257
845	45069	8204
846	45123	8150
847	45177	8097
848	45231	8044
849	45283	7991
850	45337	7938
851	45391	7884
852	45445	7831
853	45503	7779
854	45556	7726
855	45611	7672
856	45664	7619
857	45721	7566
858	45779	7514
859	45835	7461
860	45893	7409
861	45949	7356
862	46006	7303
863	46059	7250
864	46114	7197
865	46167	7143
866	46218	7090
867	46268	7036
868	46321	6982
869	46376	6929
870	46431	6876
871	46489	6824
872	46548	6771
873	46604	6718
874	46654	6664
875	46706	6611
876	46754	6557
877	46805	6503
878	46855	6449
879	46906	6396
880	46959	6342
881	47011	6289
882	47062	6235
883	47109	6181
884	47161	6128
885	47215	6075
886	47269	6021
887	47321	5968
888	47376	5915
889	47431	5862
890	47484	5808
891	47534	5755
892	47587	5701
893	47639	5648
894	47690	5594
895	47741	5541
896	47792	5487
897	47846	5434
898	47901	5381
899	47951	5327
900	48002	5274
901	48053	5220
902	48105	5167
903	48158	5114
904	48209	5060
905	48263	5007
906	48313	4953
907	48365	4900
908	48415	4846
909	48466	4793
910	48512	4739
911	48563	4685
912	48619	4632
913	48672	4579
914	48725	4526
915	48777	4473
916	48828	4419
917	48879	4366
918	48934	4313
919	48984	4259
920	49036	4206
921	49085	4152
922	49138	4099
923	49189	4045
924	49240	3992
925	49293	3939
926	49346	3885
927	49400	3832
928	49452	3779
929	49506	3726
930	49559	3673
931	49613	3619
932	49665	3566
933	49715	3513
934	49766	3459
935	49818	3406
936	49876	3353
937	49930	3300
938	49983	3247
939	50038	3193
940	50094	3140
941	50152	3087
942	50203	3034
943	50253	2981
944	50304	2927
945	50355	2874
946	50408	2821
947	50458	2767
948	50509	2714
949	50561	2661
950	50611	2607
951	50666	2554
952	50720	2501
953	50769	2448
954	50821	2394
955	50874	2341
956	50932	2288
957	50989	2235
958	51040	2182
959	51093	2128
960	51144	2075
961	51196	2022
962	51247	1969
963	51296	1915
964	51348	1862
965	51396	1808
966	51448	1755
967	51496	1702
968	51548	1649
969	51607	1596
970	51658	1542
971	51710	1489
972	51762	1436
973	51814	1383
974	51865	1329
975	51917	1276
976	51969	1223
977	52021	1170
978	52074	1117
979	52125	1063
980	52178	1010
981	52230	957
982	52282	904
983	52334	850
984	52386	797
985	52437	744
986	52490	691
987	52543	638
988	52596	584
989	52649	531
990	52700	478
991	52752	425
992	52803	372
993	52853	319
994	52904	265
995	52955	212
996	53008	159
997	53059	106
998	53117	53
999	53170	0
